Gender,Weight,Waist ,Hip,Chest,Height,Shoulder
0,62,59.94,112.62,86.76,161.85,48.463
0,66,58.46,102.27,82.46,172.64,48.4416
0,72,72.85,76.72,106.34,192.37,48.4028
0,62,55.88,79.72,116.25,191.87,48.3154
0,101,100.82,123.74,118.39,174.98,49.3408
0,62,65.69,113.36,109.91,155.87,48.5276
0,78,95.14,93.46,106.46,158.24,48.1402
0,54,80.83,95.34,101.91,173.37,48.9624
0,90,91.65,55.88,104.28,158.75,47.3148
0,54,55.88,94.8,116.27,176.62,48.8336
0,63,99.18,93.78,117.06,176.31,49.267
0,45,80.35,115.73,94.19,163.68,47.6498
0,62,67.53,73.22,120.29,198.12,47.4606
0,74,91.09,86.55,81.32,161.31,47.9564
0,78,73.01,97.04,92.44,161.98,48.3436
0,89,83.15,127,77.78,149.63,47.5468
0,63,62.22,79.52,120.44,147.4,46.241
0,67,55.88,113.54,93.64,147.32,46.5726
0,44,59.36,74.78,106.83,178.88,47.9998
0,64,67.42,77.84,121.09,175.54,48.3814
0,76,96.3,89.87,105.32,179.15,47.2466
0,81,61.13,102,85.11,178.97,47.9172
0,74,62.22,79.35,116.97,161.49,48.5112
0,107,66.39,70.94,116.93,195.53,48.4244
0,87,91.17,89.22,102.57,176.03,49.0374
0,58,57.67,90.67,78.15,153.16,44.362
0,66,91.66,111.78,113.76,155.91,48.9666
0,69,55.88,87.83,108.27,166.02,48.0602
0,101,94.05,79.04,121.92,153.52,46.7062
0,44,75.91,118.14,114.89,159.42,48.5836
0,72,95.58,107.48,113.69,147.32,47.9176
0,49,93.41,99.38,109.84,153.1,46.7042
0,61,70.58,69.82,94.71,150.57,46.0548
0,86,69.79,93.35,104.14,150.72,45.1412
0,98,74.36,107.35,90.25,187.66,48.461
0,62,101.09,79.99,106.8,188.35,48.3364
0,50,85.02,98.02,120.48,190.55,47.8068
0,66,70.64,66.57,119.05,161.34,47.8352
0,96,61.97,66.52,115.84,182.68,47.8338
0,55,57.53,58.72,108.05,174.6,47.598
0,69,55.88,76.77,92.2,152.29,45.0714
0,79,65.29,87.45,84.03,168.4,48.7276
0,85,57.46,114.51,100.94,149.12,46.8996
0,52,58.15,80.23,97.94,164.56,48.3626
0,72,66.57,109.97,110.66,184.91,48.8494
0,76,58.15,68.94,121.92,147.32,45.905
0,82,70.31,108.02,98.43,158.7,49.174
0,79,64.87,84.84,111.34,173.8,49.7492
0,81,68.17,75.13,94.92,175.03,48.3814
0,90,89.09,72.63,115.43,154.37,47.9092
0,69,74.62,84.22,106.54,169.72,49.0632
0,82,60.65,55.88,114.64,156.33,47.6642
0,76,65.51,95.28,94.67,147.32,47.0752
0,47,80.05,109.79,109.98,155.37,48.843
0,100,60.57,125.56,102.02,158.22,48.2322
0,54,61.08,75.21,85.13,178.56,47.8902
0,92,72.19,86.89,88.93,169.39,48.858
0,85,91.69,77.96,110.21,170.03,48.6306
0,60,60.72,89.55,121.05,155.41,47.4818
0,74,85.71,108.67,114.14,163.7,48.5488
0,99,64.09,101.95,76.78,172.82,46.0624
0,42,67.27,96.87,112.48,150.13,46.2094
0,71,67.55,107.62,108.67,183.99,46.9772
0,71,59.32,71.41,78.67,150.22,43.977
0,92,79.91,66.14,121.92,170.67,47.8764
0,50,96.53,88.61,84.15,170.71,49.038
0,67,101.54,105.47,121.92,163.75,48.6168
0,91,63.72,70.11,103.17,194.3,48.1204
0,64,55.88,100.69,110.91,156.59,47.9804
0,60,68.83,92.53,86.27,163.05,47.0816
0,45,55.88,78.28,121.92,175.48,48.908
0,103,61.55,116.53,121.5,147.92,46.4102
0,66,58.73,122.16,83.36,164.64,47.9936
0,77,63.93,114.84,112.02,168.72,48.6328
0,58,55.93,99.11,84.11,149.65,46.2904
0,77,98.57,84.63,100.07,193.54,48.2386
0,68,64.82,88.23,111.2,163.04,48.7476
0,106,57.2,78.02,121.92,183.84,48.061
0,62,83.95,98.72,107.55,153.43,46.4786
0,85,59.25,97.53,106.63,167.05,48.488
0,65,56.72,78.04,111.82,154.58,47.4822
0,53,89.69,105.15,97.94,149.77,47.5548
0,68,57.43,101.48,111,171.16,48.3634
0,77,64.5,82.83,94.56,151.76,45.3232
0,76,64.03,88.06,116.47,163.82,48.2448
0,60,61.87,95.96,81.83,171.85,48.326
0,79,86.09,92.93,104.37,147.32,46.7998
0,71,76.59,101.16,110.57,189.76,48.2594
0,62,105.57,102.8,87.93,151.71,47.8958
0,96,86.49,92.23,110.05,176.24,48.9354
0,65,55.88,79.9,115.38,174.72,48.908
0,72,65.04,81.06,83.7,176.14,49.487
0,74,78.88,73.33,114.97,189.29,47.9738
0,46,83,99.43,101.23,166.95,48.3184
0,68,55.88,55.88,85.11,150.6,45.8264
0,64,86.82,70.55,77.59,168.35,47.9988
0,59,65.16,69.89,92.02,180.44,47.2794
0,84,61.62,81.16,121.92,183.84,48.0376
0,71,95.45,94.11,97.4,184.31,47.91
0,73,99.51,69.11,114.56,179.56,46.8824
0,64,64.39,91.1,117.35,163.05,48.2448
0,76,94.09,74.22,121.78,177.74,47.7858
0,68,62.99,104.59,119.8,177.34,48.9424
0,49,65.68,88.14,112.77,186.31,48.6992
0,41,82.96,111.73,84.31,162.52,48.7164
0,103,62.29,82.22,86.9,147.55,46.3154
0,67,58.95,68.04,102.94,155.18,47.746
0,77,91.2,100.12,99.74,197.72,47.9088
0,69,86.4,76.55,99.82,155.26,47.811
0,85,94.29,72.96,109.75,176.54,49.1024
0,85,62.43,88.66,74.22,180.23,43.727
0,41,55.88,79.54,121.85,159.93,48.2612
0,70,101.82,84.64,113.67,157.19,48.7166
0,53,55.88,98.04,99.49,147.32,46.1162
0,80,68.71,90.46,121.92,160.33,47.443
0,74,94.05,81.9,112.8,172.24,48.7128
0,63,55.88,84.62,92.95,170.42,48.5104
0,69,57.77,73.02,121.92,164.67,48.3626
0,101,87.57,105.53,76.93,172.3,46.882
0,67,79.66,97.62,86.37,181.27,47.4664
0,59,69.73,68.82,121.92,193.31,47.0986
0,69,105.8,81.93,78.32,188.91,48.3954
0,80,95.89,125.69,80.87,190.74,48.289
0,56,55.88,57.92,80.63,170.99,46.8746
0,49,55.88,56.12,109.67,157.4,47.156
0,46,92.53,102.51,100.83,147.32,47.2342
0,58,56.17,95.17,97.13,178.51,47.773
0,49,62.48,114.43,111.96,160.78,48.355
0,47,61.42,112.74,105.49,147.32,46.6236
0,75,77.35,86.3,112.96,163.5,48.1176
0,89,57.12,77.78,110.81,150.16,45.1728
0,69,104.26,94.68,75.95,158.81,47.3162
0,57,58.48,62.38,118.02,177.64,47.5478
0,70,87.58,93.92,95.02,170.79,48.4636
0,73,95.65,92.01,121.92,153.12,46.7736
0,84,61.95,103.55,112.97,190.34,48.3424
0,88,59.41,81.35,81.73,193.88,48.3542
0,44,61.54,119.75,119.61,167.7,48.4358
0,65,69.28,69.32,91.95,185.58,46.9206
0,77,56.17,81.03,113.55,158.51,48.2848
0,76,67.98,55.88,83.21,187.46,46.1472
0,61,62.97,75.04,111.19,153.81,45.5738
0,48,100.05,112.88,121.18,171.16,49.7118
0,53,62.3,78.16,109.73,185.41,48.4208
0,76,67.96,116.35,113.39,175.16,48.2636
0,66,65.95,112.54,90.42,183.24,48.4446
0,78,100.24,99.38,104.29,148.84,47.457
0,90,106.68,110.98,76.02,169.4,49.7638
0,101,70.24,93.95,112.62,170.58,48.76
0,70,60.41,78.43,109.35,159.61,48.4876
0,58,62.54,79.21,81.49,155.94,47.4296
0,72,66.32,84.55,119.22,149.98,47.6034
0,97,60.67,97.27,108.51,154.98,47.4582
0,69,70.49,85.47,109.74,178.1,47.841
0,80,71.28,69.21,85.17,151.86,46.0274
0,62,58.83,100.22,111.59,160.07,48.2882
0,56,78.88,100.17,111.62,167.71,48.638
0,73,97.53,125.49,121.92,162.79,48.366
0,48,91.89,103.55,111.84,157.15,48.2256
0,58,93.81,89.6,83.39,148.21,46.9744
0,67,67.18,119.66,105.62,158.83,48.793
0,70,100.23,106.73,85.07,151.21,47.1758
0,70,63.55,76.76,111.63,179.63,47.8358
0,67,72.52,75.25,109.06,151.8,46.8902
0,46,60.03,76.97,76.88,147.98,44.217
0,62,93.92,81.85,99.23,158.92,48.1364
0,74,58.47,97.04,102.85,147.32,46.3174
0,90,65.48,91.98,110.71,167.33,48.846
0,70,66.8,98.24,103.03,190.88,48.8262
0,82,61.1,66.64,98.87,153.16,44.8116
0,64,70.72,94.45,100.95,180.13,47.266
0,77,85.61,75.21,96.74,187.61,47.9012
0,68,77.54,78.46,103.75,170.58,48.8282
0,77,71.22,98.39,109.25,190.33,48.0778
0,87,57.65,69.27,113.87,152.54,44.832
0,92,64.34,102.44,111.46,150.87,45.1402
0,64,69.56,87.79,121.92,170.78,47.6124
0,66,94.03,88.18,105.66,147.32,47.0018
0,59,62.77,78.11,100.6,183.85,48.1156
0,59,61.58,81.09,113.92,167.46,48.5624
0,73,88.08,77.81,112.6,171.5,48.3502
0,49,99.99,108.24,97.94,148.07,47.9316
0,73,84.78,78.23,95.93,166.98,48.3656
0,83,76.97,97.32,99.31,167.35,48.7962
0,41,74.86,99.97,115.76,152.7,47.0384
0,82,63.06,92.19,121.92,170.8,48.5684
0,58,65.33,96.35,87.27,189.39,48.7166
0,71,96.72,88.79,114.19,186.49,48.1136
0,45,55.88,69.71,110.68,156.11,47.8982
0,43,55.88,100.67,104.88,152.52,44.8648
0,79,64.63,86.69,113.33,158.37,48.2212
0,98,64.34,84.27,117.06,171.07,48.6934
0,62,62.6,59.6,111.66,174.32,47.7558
0,67,58.57,110.66,112.02,165.71,48.5474
0,100,57.93,86.07,113.21,174,48.986
0,69,80.96,104.11,114.17,174.94,48.7332
0,43,71.56,78.47,119.83,175.72,49.1184
0,69,98.43,112.83,108.27,184.7,48.6056
0,47,89.43,79.39,120.07,159.67,48.009
0,78,57.17,92,121.92,153.94,47.3824
0,65,83.57,93.5,121.92,161.56,47.913
0,55,61.91,65.37,75.35,162.36,46.3516
0,49,86.45,95.49,120.3,165.42,47.5874
0,66,55.88,101,84.14,183.88,47.7206
0,64,89.27,89.61,80.54,170.01,48.5052
0,90,90.34,105.25,109.96,183.57,47.5762
0,93,104.45,76.24,100.7,186,48.2172
0,86,92.4,74.34,100.13,166.13,47.8148
0,65,106.68,98.29,108.6,176.15,49.699
0,67,96.29,117.35,84.34,165.79,47.8328
0,77,69.46,91.65,94.32,168.07,47.812
0,45,59.42,87.71,78.5,190.26,47.804
0,61,74.87,83.8,116.93,178.31,48.0188
0,56,60.03,82.21,111.55,168.67,48.7078
0,59,55.88,105.57,121.92,185.03,48.1118
0,73,71.16,81.72,121.63,181.09,47.8412
0,57,55.88,69.75,121.92,184,48.1088
0,75,69.27,119.82,86.52,161.28,47.6492
0,84,61.26,114.36,112.29,150.67,45.3008
0,55,60.25,83.35,117.31,151.33,45.2216
0,66,83.7,81.21,100.85,154.91,47.809
0,69,90,119.3,92.36,182.99,47.7638
0,87,90.46,105.72,117.55,176.03,48.9078
0,73,59.74,88.17,89.6,183.16,48.0882
0,67,86.23,76.96,104.11,164.4,47.611
0,70,59.56,81.17,121.92,154.84,47.6324
0,90,61.74,73.21,115.03,181.36,48.1134
0,87,64.09,81.23,109.7,157.07,48.4222
0,58,102.46,115.74,111.15,152.23,47.32
0,79,80.89,77.34,80.11,182.22,47.5154
0,74,55.88,90.8,107.77,158.3,48.109
0,53,88.94,72.27,76.9,165.1,45.6456
0,57,71.5,119.31,112.36,189.32,48.2148
0,79,61.59,84.41,102.23,188.04,48.495
0,73,100.23,104.16,102.18,167.49,49.298
0,66,61.12,71.83,89.83,150.92,44.2076
0,82,72.29,107.92,105.83,147.32,47.7858
0,90,74.04,74.9,112.14,175.28,49.2962
0,56,60.34,93.87,110.51,158.47,48.3354
0,41,97.01,107.23,117.51,191.31,48.4142
0,50,65.11,84.88,110.58,195.99,48.8772
0,56,79.5,91.33,112.06,179.67,47.0422
0,50,62.72,89.52,97.62,198.12,48.5224
0,55,64.11,69.69,117.27,170.58,48.6702
0,58,77.7,95.45,112.98,148.64,47.7564
0,71,61.74,78.97,113.44,172.53,48.6862
0,73,60.18,110.75,121.92,152.22,45.4278
0,46,96.3,102.04,111.13,155.02,48.0684
0,113,56.9,64.11,84.01,180.68,46.4374
0,58,92.82,77.1,94.62,150.32,46.5614
0,53,91.74,85.82,82.91,171.88,48.5362
0,67,71.91,84.52,108.93,178.18,47.841
0,71,66.3,62.36,112.82,171.93,47.8462
0,51,97.17,112.78,73.8,150.52,46.1568
0,88,93.31,87.99,114.98,183.94,47.8606
0,46,63.29,84.76,118.3,183.85,48.1156
0,54,75.97,90.51,89.84,175.07,49.437
0,110,61.54,103.65,121.92,179.12,47.6284
0,56,55.88,62.08,80.28,148.2,45.9272
0,79,64.01,79.84,111.48,167.65,48.6914
0,69,88.37,118.2,113.9,148.07,47.4238
0,79,55.88,89.45,88.07,147.32,45.9892
0,69,66.52,117.76,121.92,152.9,46.5994
0,67,64.96,100.16,108.4,182.77,48.3428
0,68,63.81,87.75,90.61,193.86,48.675
0,80,99.93,93.08,97.2,173.97,49.267
0,53,59.05,117.94,115.43,147.82,46.459
0,71,67.35,106.78,104.82,151.17,45.6294
0,57,90.65,89.95,120.94,171.16,48.5656
0,60,62.34,62.52,78.5,188.74,46.2914
0,61,80.64,99.22,94.05,168.14,48.5672
0,89,60.98,61.2,116.12,192.04,46.9564
0,50,81.19,101.9,83.71,164.6,47.52
0,52,61.95,68.52,88.49,190.77,48.4182
0,58,56.11,70.96,92.88,181.63,47.7324
0,73,58.47,106.68,110.24,172.42,48.467
0,78,74.65,79.44,79.99,184.15,47.939
0,84,92.54,118.9,109.71,170.96,48.585
0,47,63.19,90.37,114.92,171.17,48.5684
0,51,84.49,69.2,110.27,158.25,47.6786
0,84,58.54,81.73,107.59,172.43,48.6862
0,81,60.86,90.98,94.1,151.96,45.0204
0,47,78.05,100.32,112.48,188.26,48.2594
0,84,70.13,127,111.92,181.33,47.9094
0,69,100.11,77.22,85.54,175.41,49.0988
0,85,67.28,83.85,100.94,178.05,48.153
0,62,87.6,81.97,113.62,179.63,46.8836
0,73,86.52,111.16,116.76,176.08,49.4882
0,56,100.19,92.82,116.54,185.33,48.0606
0,87,71.74,103.92,96.65,188.94,48.0758
0,49,94.64,89.58,118.92,192.04,48.2148
0,98,96.06,116.35,93.91,162.61,48.366
0,70,64.76,93.67,113.08,184.61,48.5734
0,63,79.99,108.98,108.21,175.87,49.637
0,76,72.64,98.29,95.08,156.67,48.5174
0,62,63.51,91.79,116.81,189.7,48.675
0,65,92.25,89.17,99.1,153.59,46.6316
0,71,58.24,96.56,107.77,160.86,48.1868
0,63,58.71,110.32,88.12,156.6,48.5472
0,54,62.83,103.67,106.43,147.32,46.2854
0,41,62.98,87.99,114.46,165.67,48.2196
0,83,57.66,96.83,73.49,172.91,45.1732
0,47,55.88,95.29,86.08,185.34,48.1038
0,77,64.12,79.9,115.29,167.84,48.6914
0,78,94.88,118.1,85.9,196.68,48.0598
0,68,63.22,80.93,107.81,153.91,45.5738
0,89,81.99,83.18,120.16,158.79,47.94
0,61,58.12,89.66,94.49,165.62,48.1616
0,74,66.9,95.26,96.07,147.32,47.0752
0,72,92.8,90.96,116.93,151.86,46.5104
0,80,102.69,122.74,111.19,187.7,48.289
0,59,62.64,101.66,112.35,153.33,45.3162
0,58,81.42,106.75,80.94,188.19,47.9262
0,75,87.19,68.08,112.92,192.62,47.598
0,78,97.63,119.49,84.3,169.67,48.9364
0,86,97.87,84.98,114.45,188.68,48.2386
0,57,61.55,101.44,84.52,174.58,48.7978
0,99,61.69,97.38,97.56,170.71,48.5646
0,78,60.19,83.42,118.41,184.43,48.3428
0,58,55.88,100.95,107.9,156.86,47.9804
0,80,60.12,82.3,114.43,171.42,48.6862
0,70,66.16,77.51,108.31,172.5,49.0916
0,46,66.75,94.5,108.71,159.77,48.724
0,90,82.11,82.38,105.11,152.34,46.3574
0,56,57.12,112.64,109.52,172.92,49.1928
0,88,76.07,103.25,119.17,173.37,49.2094
0,72,55.88,87.1,103.87,171.81,48.3618
0,91,63.16,109.55,114.02,154.41,47.8004
0,73,56.36,105.15,100.76,154.1,47.1778
0,41,102.15,103.35,117.43,154.18,48.833
0,72,105.9,89.85,114.13,165.97,48.8882
0,53,59.27,93.45,109.51,169.54,48.5844
0,117,55.88,69.7,106.2,163.2,48.7986
0,61,91.62,105.93,113.86,158.23,48.1828
0,87,89.12,73.41,90.31,177.33,48.873
0,56,63.69,78.74,81.68,173.84,48.954
0,84,68.95,76.46,97.57,179.21,46.124
0,54,85.62,114.92,114.29,154.92,48.462
0,97,62.85,108.95,113.67,172.61,48.836
0,87,101.25,119.09,107.24,147.32,47.6064
0,56,68.21,84.59,105.73,149.15,46.4686
0,55,92.21,101.14,111.56,172.98,48.8862
0,67,70.95,100.82,103.08,157.36,48.3292
0,47,56.62,87.67,110,184.55,48.2644
0,74,78.09,67.22,108.67,165.14,47.7638
0,78,88.21,56.95,116.28,154.1,47.0352
0,49,90.79,90.72,88.22,151.67,46.4594
0,70,96.38,95.85,88.3,170.54,48.997
0,75,74.23,90.93,110.7,172.28,48.9652
0,66,95.49,82.95,114.06,147.32,47.089
0,51,65.29,71.56,117.19,161.14,48.5628
0,70,94.16,92.39,118.38,167.18,48.861
0,75,106.61,83.94,106.65,162.64,49.3704
0,56,85.75,95.95,118.62,161.22,47.864
0,71,88.27,101.18,115.72,148.09,47.1068
0,73,78.65,89.24,115.6,164.01,47.6364
0,65,60.29,66.19,102.37,159.99,48.4554
0,43,91.69,62.74,119.22,176.73,47.9974
0,53,91.77,92.43,104.91,172.55,48.6184
0,44,60.58,81.86,71.12,180.59,43.286
0,66,66.48,61.9,83.98,148.88,47.4736
0,61,62.13,91.65,88.97,179.13,47.7026
0,60,78,79.29,81.44,154.94,48.2104
0,68,65.24,124.05,98.91,166.27,48.6666
0,61,55.88,103.73,95.04,186.61,48.1118
0,69,55.88,94.34,116.88,148.63,46.3186
0,58,94.18,110.94,74.61,148.33,47.0292
0,71,95.55,70.59,82.75,158.95,47.9388
0,70,60.46,73.81,95.22,185.02,48.3428
0,74,61.66,76.73,111.12,153.09,45.4212
0,50,55.88,100.66,102.3,187.3,48.315
0,72,95.73,79.6,108.01,178.82,47.8158
0,91,65.48,78.04,115.28,159.67,48.849
0,73,63.35,91.04,107.38,165.24,48.2448
0,98,101.13,76.43,116.98,159.55,48.6718
0,115,55.88,77.12,114.14,158.91,48.2612
0,72,61.33,87.69,121.92,189.05,48.495
0,70,72.67,82.75,81.87,165.12,48.059
0,82,55.88,89.85,100.9,150.94,44.8702
0,51,105.17,103.46,118.96,170.71,49.2546
0,75,87.51,70.25,81.61,190.55,47.4654
0,91,79.8,90.39,109.65,176.08,49.008
0,108,69.77,65.51,105.42,196.98,46.8988
0,100,66.1,73.23,113.75,153.25,46.507
0,68,64.19,114.31,121.92,154.99,47.6734
0,72,55.88,117.02,79.93,190.16,48.0976
0,76,93.74,113.35,86.51,147.33,47.7918
0,67,80.89,70.15,116,188.44,47.573
0,48,57.17,77.92,111.51,185.28,48.3662
0,74,59.54,74.86,100.35,157.1,48.4858
0,55,93.33,89.36,111.14,186.47,48.0642
0,55,55.88,98.01,92.06,190.81,48.315
0,72,70.69,85.61,87.61,153.7,46.81
0,57,55.95,76.47,92.4,158.11,48.2848
0,72,66.07,98.1,96.92,164.43,48.7476
0,54,91.31,100.72,121.92,189.7,47.9088
0,68,102.63,94.58,116.12,174.31,49.576
0,75,96.32,102.32,108.54,180.13,47.1446
0,51,59.27,96.31,81.76,153.61,44.9148
0,99,89.59,82.85,99.04,170.36,48.56
0,52,79.08,86.5,107.89,187.3,48.0598
0,75,95.5,90.11,95.89,156.13,48.1058
0,64,63.93,106,104.24,154.07,47.388
0,61,57.42,83.94,112.58,161.29,48.3354
0,44,60.43,85.93,104.38,151.64,45.0204
0,67,61.74,86.3,115.6,154.77,47.4312
0,103,57.86,107.1,103.23,173.66,49.1126
0,58,66.59,102.94,115.03,187.98,48.7988
0,91,64.15,97.34,115.77,173.54,49.0928
0,48,85.35,111.03,102.09,152.56,47.4346
0,80,78.81,96.12,112.6,148.74,47.2964
0,60,93.83,112.2,111.88,155.35,49.043
0,65,68.57,80.06,105.7,158.71,47.6108
0,73,95.92,104.24,101.07,147.52,47.5774
0,53,65.01,119.12,120.31,170.87,48.849
0,86,67.43,103.23,79.41,178.08,46.5816
0,56,55.88,61.84,80.7,151.76,45.371
0,58,72.54,105.65,117.21,168.38,49.1998
0,58,62.28,86.07,119.91,154.97,47.4148
0,78,75.42,100.15,113.62,180.37,47.3164
0,91,55.88,97.28,94.62,165.05,48.0854
0,62,58.56,106.49,110.19,152.51,45.0408
0,110,71.63,73.22,114.42,152.68,46.8572
0,66,98.98,107.36,110.62,164.39,48.4974
0,107,62.83,104.05,93.09,170.39,48.3944
0,55,56.42,101.09,121.85,176.19,48.759
0,61,85.64,116.28,110.72,147.32,47.4002
0,56,63.85,88.57,117.29,181.45,48.344
0,70,65.51,97.86,92.73,181.17,48.3428
0,80,91.7,109.29,108.11,150.4,47.5582
0,63,70.53,72.7,111.43,170.62,48.6192
0,52,95.15,78.24,100.7,158.18,48.1364
0,78,59.08,89.27,119,167.02,48.488
0,76,56.04,101.93,118.69,191.14,48.315
0,79,68.86,68.27,121.92,190.32,47.0986
0,57,75.02,65.09,91.06,154.44,48.0468
0,82,88.18,74.24,112.19,181.38,47.5448
0,52,65.23,87.37,90.75,174.08,49.6242
0,91,59.22,117.83,75.47,147.32,44.8894
0,56,94.02,97.76,115.38,177.23,49.0606
0,95,95.94,85.69,105.59,162.32,48.337
0,50,97.75,94.7,105.64,180.74,47.9352
0,86,96.2,103.67,103.81,189.4,48.2616
0,67,87.79,77.47,121.92,185.79,47.7506
0,73,67.98,75.92,118.54,163.75,47.3826
0,60,65.13,62.87,110.09,181.17,46.9554
0,45,76.43,108.67,114.1,180.59,47.8894
0,64,90.95,103.02,115.35,181.71,47.6014
0,58,73.38,108.12,114.82,156.81,49.4788
0,71,61.04,76.73,121.92,165.3,48.4876
0,72,66.71,82.63,87.75,163.44,48.8726
0,71,70.06,86.38,93.36,179.71,47.266
0,82,68.49,77.37,106.43,187.33,47.4606
0,61,91.26,84.88,119.09,153.18,46.6316
0,66,89.66,95.14,112.21,166.19,47.6384
0,48,61.49,83.31,99.14,171.08,48.6862
0,56,64.86,90.91,121.92,193.68,48.8772
0,109,60.94,82.37,99.4,179.1,47.652
0,83,102.06,120.72,100.59,162.5,48.5616
0,72,84.46,113.72,103.73,176.27,49.1308
0,93,60.78,79.62,115.81,162.6,48.5112
0,72,61.15,70.33,117.5,163.52,48.1762
0,41,80.9,100.04,121.92,155.48,47.758
0,89,57.82,124.42,121.92,165.34,48.2322
0,78,83.15,78.98,82.79,148.47,46.7196
0,81,55.88,103.11,121.92,172.88,48.6848
0,73,65.34,114.32,72.04,163.81,45.6944
0,63,55.88,72.17,121.92,189.53,47.9854
0,85,65.5,123.23,116.97,170.91,48.849
0,67,55.88,99.79,92.75,163.9,48.109
0,65,105.01,103.49,112.72,165.7,48.445
0,59,80.2,80.13,71.12,174.79,45.493
0,75,57,72.48,105.12,159.09,48.2612
0,78,59.38,79.32,94.36,194.13,48.5928
0,65,97.84,76.37,93.66,180.74,47.8236
